file,usage_count,sample_question_ids
"A Single Yellow Zig-Zag Line.png","1","sg_btt_0160"
"Ahead only.png","3","sg_btt_0135; sg_btt_0236; sg_btt_0421"
"Animals.png","1","sg_btt_0019"
"Broken White Line.png","2","sg_btt_0060; sg_btt_0263"
"Bus lane.png","2","sg_btt_0094; sg_btt_0454"
"Children.png","1","sg_btt_0513"
"Continuous White Line.png","2","sg_btt_0040; sg_btt_0427"
"detour ahead.png","1","sg_btt_0258"
"Double Yellow Zig-Zag Lines.png","1","sg_btt_0267"
"Give-way to buse.png","2","sg_btt_0365; sg_btt_0379"
"Height limit .png","2","sg_btt_0089; sg_btt_0245"
"I intend to stop.png","1","sg_btt_0014"
"Keep left.png","2","sg_btt_0091; sg_btt_0235"
"Left bend.png","1","sg_btt_0004"
"Light signals ahead.png","1","sg_btt_0026"
"Merging traffic.png","1","sg_btt_0253"
"No entry for bicycles.png","2","sg_btt_0022; sg_btt_0137"
"No entry for motorcycles .png","1","sg_btt_0249"
"No entry.png","3","sg_btt_0001; sg_btt_0240; sg_btt_0241"
"No overtaking .png","2","sg_btt_0006; sg_btt_0144"
"No sounding of horn.png","1","sg_btt_0145"
"No stopping.png","1","sg_btt_0242"
"No waiting.png","1","sg_btt_0243"
"One-way street.png","1","sg_btt_0257"
"Parking Signboard.png","2","sg_btt_0007; sg_btt_0142"
"Pedestrian crossing ahead.png","2","sg_btt_0132; sg_btt_0451"
"Pedestrian signal ‘Green Man.png","1","sg_btt_0274"
"Pricing Zone ahead.png","1","sg_btt_0285"
"Raised Zebra Crossing.png","1","sg_btt_0275"
"Road hump ahead.png","1","sg_btt_0146"
"Road leading to quay.png","1","sg_btt_0416"
"Roadworks.png","1","sg_btt_0150"
"Series of bends.png","1","sg_btt_0025"
"Slippery road.png","2","sg_btt_0131; sg_btt_0139"
"Speed limit(50).png","2","sg_btt_0133; sg_btt_0423"
"Speed limit(90).png","1","sg_btt_0247"
"Steep upward slope.png","2","sg_btt_0028; sg_btt_0141"
"Stop.png","2","sg_btt_0231; sg_btt_0232"
"T junction.png","1","sg_btt_0140"
"the right or turn right.png","1","sg_btt_0013"
"Unbroken Double White Lines.png","2","sg_btt_0092; sg_btt_0264"
"Unbroken Double Yellow Lines.png","5","sg_btt_0046; sg_btt_0123; sg_btt_0158; sg_btt_0266; sg_btt_0408"
"Unbroken Yellow Line.png","5","sg_btt_0033; sg_btt_0159; sg_btt_0161; sg_btt_0265; sg_btt_0409"
"Weight limit .png","3","sg_btt_0018; sg_btt_0096; sg_btt_0246"
"Yellow Box.png","4","sg_btt_0125; sg_btt_0214; sg_btt_0370; sg_btt_0471"
"Zebra Crossing.png","4","sg_btt_0057; sg_btt_0191; sg_btt_0192; sg_btt_0547"
"Zig-Zag Lines by Side of the Road.png","1","sg_btt_0268"
